precision,word,speaker_id,distance,type,spk1,spk2
float64,garage,AB2,0.11821231567368085,intra,,
float64,garage,AB2,0.23255873507559344,intra,,
float64,garage,AB2,0.06443048966360043,intra,,
float64,garage,AB2,0.16265855184771438,intra,,
float64,garage,AB2,0.11751366883433756,intra,,
float64,garage,AB2,0.19058901971774345,intra,,
float64,garage,AB2,0.12451208291402105,intra,,
float64,garage,AB2,0.13286148763019823,intra,,
float64,garage,AB2,0.12965790928281873,intra,,
float64,garage,AB2,0.09203674149424812,intra,,
float64,garage,AB2,0.08891478098317851,intra,,
float64,hier,AB2,0.06714279327567418,intra,,
float64,hier,AB2,0.3453022356430422,intra,,
float64,hier,AB2,0.4165273088986182,intra,,
float64,hier,AB2,0.11527538197420273,intra,,
float64,hier,AB2,0.3581175010324784,intra,,
float64,hier,AB2,0.2727083184750967,intra,,
float64,hier,AB2,0.3698586604148981,intra,,
float64,hier,AB2,0.07781511462225221,intra,,
float64,hier,AB2,0.3089616527263451,intra,,
float64,hier,AB2,0.22618578149722712,intra,,
float64,hier,AB2,0.23559297340710306,intra,,
float64,hier,AB2,0.20158075181272805,intra,,
float64,hier,AB2,0.33126451852307526,intra,,
float64,hier,AB2,0.20576153801529906,intra,,
float64,hier,AB2,0.22309582349529733,intra,,
float64,j'en chie,AB2,0.1125130595855045,intra,,
float64,j'en chie,AB2,0.27563479265582647,intra,,
float64,j'en chie,AB2,0.2976364124151941,intra,,
float64,j'en chie,AB2,0.3300996672924722,intra,,
float64,j'en chie,AB2,0.1369811265143147,intra,,
float64,j'en chie,AB2,0.1487858433072382,intra,,
float64,j'en chie,AB2,0.16111608391492416,intra,,
float64,j'en chie,AB2,0.23961486217593697,intra,,
float64,j'en chie,AB2,0.11821441934320764,intra,,
float64,j'en chie,AB2,0.05913561944073831,intra,,
float64,j'en chie,AB2,0.10994190387496106,intra,,
float64,j'en chie,AB2,0.1551301378895541,intra,,
float64,j'en chie,AB2,0.10034399911876823,intra,,
float64,j'en chie,AB2,0.12670339409554365,intra,,
float64,j'en chie,AB2,0.15522281945274252,intra,,
float64,juxtaposer,AB2,0.10494864996640729,intra,,
float64,juxtaposer,AB2,0.07914363216426634,intra,,
float64,juxtaposer,AB2,0.15846924889649516,intra,,
float64,juxtaposer,AB2,0.15685983107343227,intra,,
float64,juxtaposer,AB2,0.1316786510714275,intra,,
float64,juxtaposer,AB2,0.05943027904445375,intra,,
float64,juxtaposer,AB2,0.13568332171367337,intra,,
float64,juxtaposer,AB2,0.06347285062563279,intra,,
float64,juxtaposer,AB2,0.08220771814782091,intra,,
float64,juxtaposer,AB2,0.11972237790831608,intra,,
float64,juxtaposer,AB2,0.11876437863832068,intra,,
float64,juxtaposer,AB2,0.08595853612918025,intra,,
float64,juxtaposer,AB2,0.11898989938148763,intra,,
float64,juxtaposer,AB2,0.08374424565346872,intra,,
float64,juxtaposer,AB2,0.07512694461243086,intra,,
float64,louche,AB2,0.13747510145367192,intra,,
float64,louche,AB2,0.19458483941881743,intra,,
float64,louche,AB2,0.24959932761428372,intra,,
float64,louche,AB2,0.1828676038912852,intra,,
float64,louche,AB2,0.1633239882917139,intra,,
float64,louche,AB2,0.41024815287339533,intra,,
float64,louche,AB2,0.4150628367180964,intra,,
float64,louche,AB2,0.341814312253261,intra,,
float64,louche,AB2,0.36810763887612197,intra,,
float64,louche,AB2,0.11514362483164797,intra,,
float64,louche,AB2,0.09774982560060819,intra,,
float64,louche,AB2,0.09912445183486451,intra,,
float64,louche,AB2,0.12108771716700506,intra,,
float64,louche,AB2,0.16432109209201207,intra,,
float64,louche,AB2,0.12866219719384397,intra,,
float64,pas ceux,AB2,0.267975222600886,intra,,
float64,pas ceux,AB2,0.2690572122428294,intra,,
float64,pas ceux,AB2,0.26097947291837986,intra,,
float64,pas ceux,AB2,0.24342625997102874,intra,,
float64,pas ceux,AB2,0.2535028527702565,intra,,
float64,pas ceux,AB2,0.17311990046934833,intra,,
float64,pas ceux,AB2,0.1114173517547904,intra,,
float64,pas ceux,AB2,0.23367659570645627,intra,,
float64,pas ceux,AB2,0.21705193651793986,intra,,
float64,pas ceux,AB2,0.11992870688315227,intra,,
float64,pas ceux,AB2,0.2550640708606968,intra,,
float64,pas ceux,AB2,0.17037179877805786,intra,,
float64,pas ceux,AB2,0.26813316651733554,intra,,
float64,pas ceux,AB2,0.1686971049222642,intra,,
float64,pas ceux,AB2,0.1301310544755424,intra,,
float64,pour gabriel,AB2,0.16033898012044523,intra,,
float64,pour gabriel,AB2,0.17247034338975398,intra,,
float64,pour gabriel,AB2,0.12566275614054523,intra,,
float64,pour gabriel,AB2,0.12620118425378268,intra,,
float64,pour gabriel,AB2,0.16063566647826533,intra,,
float64,pour gabriel,AB2,0.1369630560550753,intra,,
float64,pour gabriel,AB2,0.139831934475096,intra,,
float64,pour gabriel,AB2,0.09295403486021647,intra,,
float64,pour gabriel,AB2,0.13139095031164139,intra,,
float64,pour gabriel,AB2,0.1849987304976447,intra,,
float64,pour gabriel,AB2,0.10965208863801312,intra,,
float64,pour gabriel,AB2,0.08937521980421437,intra,,
float64,pour gabriel,AB2,0.14679392409332226,intra,,
float64,pour gabriel,AB2,0.15440125784002068,intra,,
float64,pour gabriel,AB2,0.10436909343889822,intra,,
float64,sérieux,AB2,0.11095899720963243,intra,,
float64,sérieux,AB2,0.1683525433926948,intra,,
float64,sérieux,AB2,0.1351784565202765,intra,,
float64,sérieux,AB2,0.1395900964183866,intra,,
float64,sérieux,AB2,0.10439266520909773,intra,,
float64,sérieux,AB2,0.14264795549153964,intra,,
float64,sérieux,AB2,0.18841198214350396,intra,,
float64,sérieux,AB2,0.15624678787828494,intra,,
float64,sérieux,AB2,0.12652886019416965,intra,,
float64,sérieux,AB2,0.27545966588995296,intra,,
float64,sérieux,AB2,0.1378102160361756,intra,,
float64,sérieux,AB2,0.20183851635337247,intra,,
float64,sérieux,AB2,0.2006576039463488,intra,,
float64,sérieux,AB2,0.12393223081010274,intra,,
float64,sérieux,AB2,0.15864991380721094,intra,,
float64,tsarine,AB2,0.14276023443886598,intra,,
float64,tsarine,AB2,0.09419489206173215,intra,,
float64,tsarine,AB2,0.32212660622405065,intra,,
float64,tsarine,AB2,0.13157417011376804,intra,,
float64,tsarine,AB2,0.31719861104598024,intra,,
float64,tsarine,AB2,0.09022405917219689,intra,,
float64,tsarine,AB2,0.29302238625948807,intra,,
float64,tsarine,AB2,0.12008568040369416,intra,,
float64,tsarine,AB2,0.28891464357554764,intra,,
float64,tsarine,AB2,0.3017918938366351,intra,,
float64,tsarine,AB2,0.12334785764285294,intra,,
float64,tsarine,AB2,0.29656036002496045,intra,,
float64,tsarine,AB2,0.27609783141773425,intra,,
float64,tsarine,AB2,0.0052255801655075595,intra,,
float64,tsarine,AB2,0.2639069084709982,intra,,
float64,tulle,AB2,0.2519357209353428,intra,,
float64,tulle,AB2,0.2601273598820133,intra,,
float64,tulle,AB2,0.4192454280668232,intra,,
float64,tulle,AB2,0.2832645456387306,intra,,
float64,tulle,AB2,0.3515494090699831,intra,,
float64,tulle,AB2,0.1947483678923514,intra,,
float64,tulle,AB2,0.38633339461277516,intra,,
float64,tulle,AB2,0.20483852307100647,intra,,
float64,tulle,AB2,0.24058572635242748,intra,,
float64,tulle,AB2,0.4148548770974426,intra,,
float64,tulle,AB2,0.2625259161828093,intra,,
float64,tulle,AB2,0.29519872039522643,intra,,
float64,tulle,AB2,0.3176571929931794,intra,,
float64,tulle,AB2,0.4550141064094707,intra,,
float64,tulle,AB2,0.29123647195052205,intra,,
float64,cache cache,AG,0.16398711743949435,intra,,
float64,cache cache,AG,0.12706999445916078,intra,,
float64,cache cache,AG,0.06492993646447598,intra,,
float64,cache cache,AG,0.08583662224992117,intra,,
float64,cache cache,AG,0.10162103160416214,intra,,
float64,cache cache,AG,0.08144629123605629,intra,,
float64,cache cache,AG,0.14409799515830524,intra,,
float64,cache cache,AG,0.2786566444561257,intra,,
float64,cache cache,AG,0.26878056755279345,intra,,
float64,cache cache,AG,0.13860251621827513,intra,,
float64,cache cache,AG,0.23742699463532146,intra,,
float64,cache cache,AG,0.22769632615662783,intra,,
float64,cache cache,AG,0.08660727021655401,intra,,
float64,cache cache,AG,0.09851849983855321,intra,,
float64,cache cache,AG,0.027629461034681446,intra,,
float64,divan,AG,0.11960034215024096,intra,,
float64,divan,AG,0.15050541770866366,intra,,
float64,divan,AG,0.23132498641952448,intra,,
float64,divan,AG,0.14972076064170992,intra,,
float64,divan,AG,0.07699064022975877,intra,,
float64,divan,AG,0.2613332118077585,intra,,
float64,divan,AG,0.08826796961099748,intra,,
float64,divan,AG,0.2196790889522794,intra,,
float64,divan,AG,0.1493039161859958,intra,,
float64,divan,AG,0.3680042970591799,intra,,
float64,divan,AG,0.12698200108751379,intra,,
float64,divan,AG,0.10507411810596379,intra,,
float64,divan,AG,0.28116981585934653,intra,,
float64,divan,AG,0.2117004800296538,intra,,
float64,divan,AG,0.11943489927964956,intra,,
float64,garage,AG,0.148299374208668,intra,,
float64,garage,AG,0.1605920174877209,intra,,
float64,garage,AG,0.14774278222038517,intra,,
float64,garage,AG,0.17597303154311306,intra,,
float64,garage,AG,0.14908820839021553,intra,,
float64,garage,AG,0.12708235334287887,intra,,
float64,garage,AG,0.14583212562908543,intra,,
float64,garage,AG,0.18821735979122733,intra,,
float64,garage,AG,0.12406974758344747,intra,,
float64,garage,AG,0.06489197824393989,intra,,
float64,garage,AG,0.1804571752377474,intra,,
float64,garage,AG,0.08895426383994687,intra,,
float64,garage,AG,0.14101182539391788,intra,,
float64,garage,AG,0.08422539369472193,intra,,
float64,garage,AG,0.13315215930559754,intra,,
float64,hier,AG,0.176411351769295,intra,,
float64,hier,AG,0.19054181846605378,intra,,
float64,hier,AG,0.09642466454520171,intra,,
float64,hier,AG,0.22877222684305554,intra,,
float64,hier,AG,0.18692382693843157,intra,,
float64,hier,AG,0.36586382555630037,intra,,
float64,hier,AG,0.2321804000084302,intra,,
float64,hier,AG,0.4339416728881744,intra,,
float64,hier,AG,0.39913413645820695,intra,,
float64,hier,AG,0.15650619023222867,intra,,
float64,hier,AG,0.13242036574169147,intra,,
